Substance Name,Identity
"2,4-di-tert-butyl-6-(5-chlorobenzotriazol-2-yl)phenol (UV-327)",00134
2-(2H-benzotriazol-2-yl)-4-(tert-butyl)-6-(sec-butyl)phenol (UV-350),00135
Perfluorononan-1-oic-acid and its sodium and ammonium salts,00140
Benzo[def]chrysene (Benzo[a]pyrene),00138
"4,4'-isopropylidenediphenol",00141
Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,00142
Perfluorohexane-1-sulphonic acid and its salts,00143
Chrysene,00144
Benz[a]anthracene,00145
Cadmium hydroxide,00146
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™)",00147
Benzo[ghi]perylene,00148
Octamethylcyclotetrasiloxane,00149
Decamethylcyclopentasiloxane,00150
Dodecamethylcyclohexasiloxane,00151
Disodium octaborate,00152
"Terphenyl, hydrogenated",00153
Lead,00154
Dicyclohexyl phthalate,00139
"2,2-bis(4'-hydroxyphenyl)-4-methylpentane",00155
Benzo[k]fluoranthene,00156
Fluoranthene,00157
Phenanthrene,00158
Pyrene,00159
Perfluorooctanoic acid and its salts,00160
PFOA-related substances,00161
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP) with ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP)",00162
"Tetraboron disodium heptaoxide, hydrate",00163
Diisohexyl phthalate,00164
Perfluorobutane sulfonic acid (PFBS) and its salts,00165
